"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","meat_calories_mean","fish_calories_mean","protein_calories_mean","calories_total_grams_mean","avg_calories_pp_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","meat_calories_sd","fish_calories_sd","protein_calories_sd","calories_total_grams_sd","avg_calories_pp_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","meat_calories_var","fish_calories_var","protein_calories_var","calories_total_grams_var","avg_calories_pp_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn","totalCultivablePlot","totalOwnPlot"
"11",106058,7.15,0.05,0.2,0.25,137.5,1320.625,1458.125,3100.375,620.075,4.4001748217018,0.105409255338946,0.178384893650524,0.180764684430919,669.744497780827,3914.56389611855,3924.2686216343,3594.85073109387,718.970146218774,19.3615384615385,0.0111111111111111,0.0318211702827087,0.0326758711374096,448557.692307692,15323810.4967949,15399884.2147436,12922951.7788462,516918.071153845,2,5,"0",21,"1","4","3","1","nonearning","1","1","1",0.2,0.8,1,0,1
"12",106063,5.96491228070175,0.0789473684210526,0.087719298245614,0.166666666666667,424.780701754386,478.070175438596,902.850877192982,6026.5350877193,1506.63377192982,3.2666993018214,0.123275770501818,0.118185491416717,0.153779011140836,2193.63645134882,2217.57895458326,3052.85982052244,5497.04796590551,1374.26199147638,10.6713243285204,0.0151969155928169,0.0139678103814108,0.0236479842674532,4812040.88068623,4917656.41981059,9319953.08376031,30217536.3394659,1888596.02121662,2,4,"0",33,"2","3","3","0","trader","1","1","1",0.5,0.5,1,1,1
"13",106064,6.17241379310345,0.120689655172414,0.0948275862068965,0.21551724137931,381.896551724138,482.724137931034,864.620689655172,3337.29310355104,667.458620710208,3.52944351339455,0.133308343485239,0.211075161111347,0.212208585495783,1533.54372999732,1810.70006920795,2293.13838356452,3695.92411927328,739.184823854657,12.4569715142429,0.0177711144427786,0.0445527236381809,0.0450324837581209,2351756.37181409,3278634.74062968,5258483.64617691,13659855.095426,546394.20381704,3,5,"0",46,"2","4","3","0","farming","1","1","1",0.4,0.4,0.8,0,1
"14",106066,3.25,0.125,0,0.125,375,0,375,2487.5,829.166666666667,1.03509833901353,0.353553390593274,0,0.353553390593274,1060.66017177982,0,1060.66017177982,1682.84410618283,560.948035394276,1.07142857142857,0.125,0,0.125,1125000,0,1125000,2831964.28571429,314662.698412698,0,3,"0",25,"1","4","3","0","farming","1","1","1",0.333333333333333,1,1,1,1
"15",107070,4.33333333333333,0,0,0,0,0,0,3817.16666666667,1908.58333333333,1.63299316185545,0,0,0,0,0,0,4538.40149905963,2269.20074952981,2.66666666666667,0,0,0,0,0,0,20597088.1666667,5149272.04166667,0,2,"1",28,"2","4","2","0","nonearning","0","1","1",0.5,1,1,1,1
"16",107070,4.33333333333333,0,0,0,0,0,0,3817.16666666667,1908.58333333333,1.63299316185545,0,0,0,0,0,0,4538.40149905963,2269.20074952981,2.66666666666667,0,0,0,0,0,0,20597088.1666667,5149272.04166667,0,2,"0",38,"2","4","2","0","trader","1","1","1",0.5,1,1,1,1
"17",107073,4,0,0.25,0.25,0,3674.99983310699,3674.99983310699,6049.99983310699,2016.66661103567,0,0,0,0,0,7349.99966621399,7349.99966621399,5771.48127869569,1923.82709289856,0,0,0,0,0,54022495.0933458,54022495.0933458,33309996.1503348,3701110.68337053,1,3,"0",38,"2","4","3","0","farming","1","1","1",0.666666666666667,0.666666666666667,1,0,0
"18",107081,2.6,0.2,0.4,0.6,1800,1175,2975,3775,1887.5,1.26491106406735,0.349602949390051,0.428174419288838,0.35746017649212,5433.69119475886,1764.03105288868,5285.527935368,4916.59604469054,2458.29802234527,1.6,0.122222222222222,0.183333333333333,0.127777777777778,29525000,3111805.55555556,27936805.5555556,24172916.6666667,6043229.16666667,0,2,"0",38,"2","4","2","0","trader","1","1","1",1,1,1,1,1
"19",107082,5.8099173553719,0.0247933884297521,0.0165289256198347,0.0413223140495868,126.03305785124,63.6363636363636,189.669421487603,5823.44297520661,1455.86074380165,5.92215339436985,0.0635835175336707,0.0542299933186603,0.0784685261509659,1109.20578143315,514.78150704935,1216.20854426389,5761.06379645325,1440.26594911331,35.0719008264463,0.0040428637019546,0.00294089217534194,0.00615730959630483,1230337.46556473,265000,1479163.2231405,33189856.0668044,2074366.00417527,1,4,"0",50,"2","4","2","0","farming","1","1","1",1,1,1,1,1
"20",108089,3.44827586206897,0.172413793103448,0.0862068965517241,0.258620689655172,1008.62068965517,508.01724137931,1516.63793103448,6863.60689655172,1143.93448275862,1.28653504180535,0.241554253430306,0.128119474388888,0.296293565558432,3066.85932743927,2739.96573477985,3983.75025946206,6180.3227505531,1030.05379175885,1.6551724137931,0.0583484573502723,0.016414599717685,0.0877898769913288,9405626.13430125,7507412.22776771,15870266.129764,38196389.3010043,1061010.81391678,1,6,"0",28,"2","4","2","0","farming","1","1","1",0.666666666666667,0.666666666666667,0.833333333333333,2,2
