"","hh_ID","house_rooms_sleeping","housefloor_material","houseroof_material","house_elec","housewall_material"
"319",239459,1,"mud","other","1","tin"
"320",239460,2,"mud","tin","1","tin"
"321",239461,2,"mud","tin","1","other"
"322",239462,2,"other","tin","1","other"
"323",239463,3,"other","tin","1","tin"
"324",239464,2,"mud","tin","0","other"
"325",239466,4,"concrete","tin","1","concrete"
"326",239467,4,"concrete","tin","1","concrete"
"327",240468,3,"concrete","tin","1","concrete"
"328",240469,3,"concrete","tin","1","concrete"
"329",240471,2,"mud","tin","1","tin"
"330",240472,3,"concrete","other","1","concrete"
"331",240474,3,"concrete","other","1","concrete"
"332",240476,2,"mud","tin","1","tin"
"333",240477,4,"concrete","tin","1","concrete"
"334",240478,3,"concrete","tin","1","concrete"
"335",240479,2,"mud","tin","1","tin"
